"time","period","lat","lon","parking"
2016-04-12 13:30:01,27,0,0,23
2016-04-12 14:00:01,28,0,0,22.5
2016-04-12 14:30:01,29,0,0,22
2016-04-12 15:00:01,30,0,0,21.5
2016-04-12 15:30:01,31,0,0,21
2016-04-12 16:00:01,32,0,0,20.5
2016-04-12 16:30:01,33,0,0,20
2016-04-12 17:00:01,34,0,0,19.5
2016-04-12 17:30:01,35,0,0,19
2016-04-12 18:00:01,36,0,0,18.5
2016-04-12 18:30:01,37,0,0,18
2016-04-12 19:00:01,38,0,0,17.5
2016-04-12 19:30:01,39,0,0,17
2016-04-12 20:00:01,40,0,0,16.5
2016-04-12 20:30:01,41,0,0,16
2016-04-12 21:00:01,42,0,0,15.5
2016-04-12 21:30:01,43,0,0,15
2016-04-12 22:00:01,44,0,0,14.5
2016-04-12 22:30:01,45,0,0,14
2016-04-12 23:00:01,46,0,0,13.5
2016-04-12 23:30:01,47,0,0,13
2016-04-13 00:00:01,0,0,0,12.5
2016-04-13 00:30:01,1,0,0,12
2016-04-13 01:00:01,2,0,0,11.5
2016-04-13 01:30:01,3,0,0,11
2016-04-13 02:00:01,4,0,0,10.5
2016-04-13 02:30:01,5,0,0,10
2016-04-13 03:00:01,6,0,0,9.5
2016-04-13 03:30:01,7,0,0,9
2016-04-13 04:00:01,8,0,0,8.5
2016-04-13 04:30:01,9,0,0,8
2016-04-13 05:00:01,10,0,0,7.5
2016-04-13 05:30:01,11,0,0,7
2016-04-13 06:00:01,12,0,0,6.5
2016-04-13 06:30:01,13,0,0,6
2016-04-13 07:00:01,14,0,0,5.5
2016-04-13 07:30:01,15,0,0,5
2016-04-13 08:00:01,16,0,0,4.5
2016-04-13 08:30:01,17,0,0,4
2016-04-13 09:00:01,18,0,0,3.5
2016-04-13 09:30:01,19,0,0,3
2016-04-13 10:00:01,20,0,0,2.5
2016-04-13 10:30:01,21,0,0,2
2016-04-13 11:00:01,22,0,0,1.5
2016-04-13 11:30:01,23,0,0,1
2016-04-13 12:00:01,24,0,0,0.5
2016-04-13 12:30:01,25,0,0,0
2016-04-13 13:00:01,26,-3.05499999981862e-05,9.72000000132312e-05,0
2016-04-13 13:30:01,27,0,0,18
2016-04-13 14:00:01,28,0,0,17.5
2016-04-13 14:30:01,29,0,0,17
2016-04-13 15:00:01,30,0,0,16.5
2016-04-13 15:30:01,31,0,0,16
2016-04-13 16:00:01,32,0,0,15.5
2016-04-13 16:30:01,33,0,0,15
2016-04-13 17:00:01,34,0,0,14.5
2016-04-13 17:30:01,35,0,0,14
2016-04-13 18:00:01,36,0,0,13.5
2016-04-13 18:30:01,37,0,0,13
2016-04-13 19:00:01,38,0,0,12.5
2016-04-13 19:30:01,39,0,0,12
2016-04-13 20:00:01,40,0,0,11.5
2016-04-13 20:30:01,41,0,0,11
2016-04-13 21:00:01,42,0,0,10.5
2016-04-13 21:30:01,43,0,0,10
2016-04-13 22:00:01,44,0,0,9.5
2016-04-13 22:30:01,45,0,0,9
2016-04-13 23:00:01,46,0,0,8.5
2016-04-13 23:30:01,47,0,0,8
2016-04-14 00:00:01,0,0,0,7.5
2016-04-14 00:30:01,1,0,0,7
2016-04-14 01:00:01,2,0,0,6.5
2016-04-14 01:30:01,3,0,0,6
2016-04-14 02:00:01,4,0,0,5.5
2016-04-14 02:30:01,5,0,0,5
2016-04-14 03:00:01,6,0,0,4.5
2016-04-14 03:30:01,7,0,0,4
2016-04-14 04:00:01,8,0,0,3.5
2016-04-14 04:30:01,9,0,0,3
2016-04-14 05:00:01,10,0,0,2.5
2016-04-14 05:30:01,11,0,0,2
2016-04-14 06:00:01,12,0,0,1.5
2016-04-14 06:30:01,13,0,0,1
2016-04-14 07:00:01,14,0,0,0.5
2016-04-14 07:30:01,15,0,0,0
2016-04-14 08:00:01,16,-0.000296979999994562,-9.79000000000951e-05,0
2016-04-14 08:30:01,17,2.7779999996369e-05,-8.39999999868723e-06,7
2016-04-14 09:00:01,18,2.7779999996369e-05,-8.39999999868723e-06,6.5
2016-04-14 09:30:01,19,2.7779999996369e-05,-8.39999999868723e-06,6
2016-04-14 10:00:01,20,2.7779999996369e-05,-8.39999999868723e-06,5.5
2016-04-14 10:30:01,21,2.7779999996369e-05,-8.39999999868723e-06,5
2016-04-14 11:00:01,22,2.7779999996369e-05,-8.39999999868723e-06,4.5
2016-04-14 11:30:01,23,2.7779999996369e-05,-8.39999999868723e-06,4
2016-04-14 12:00:01,24,2.7779999996369e-05,-8.39999999868723e-06,3.5
2016-04-14 12:30:01,25,2.7779999996369e-05,-8.39999999868723e-06,3
2016-04-14 13:00:01,26,2.7779999996369e-05,-8.39999999868723e-06,2.5
2016-04-14 13:30:01,27,2.7779999996369e-05,-8.39999999868723e-06,2
2016-04-14 14:00:01,28,2.7779999996369e-05,-8.39999999868723e-06,1.5
2016-04-14 14:30:01,29,2.7779999996369e-05,-8.39999999868723e-06,1
2016-04-14 15:00:01,30,2.7779999996369e-05,-8.39999999868723e-06,0.5
2016-04-14 15:30:01,31,2.7779999996369e-05,-8.39999999868723e-06,0
2016-04-14 16:00:01,32,0,0,22
2016-04-14 16:30:01,33,0,0,21.5
2016-04-14 17:00:01,34,0,0,21
2016-04-14 17:30:01,35,0,0,20.5
2016-04-14 18:00:01,36,0,0,20
2016-04-14 18:30:01,37,0,0,19.5
2016-04-14 19:00:01,38,0,0,19
2016-04-14 19:30:01,39,0,0,18.5
2016-04-14 20:00:01,40,0,0,18
2016-04-14 20:30:01,41,0,0,17.5
2016-04-14 21:00:01,42,0,0,17
2016-04-14 21:30:01,43,0,0,16.5
2016-04-14 22:00:01,44,0,0,16
2016-04-14 22:30:01,45,0,0,15.5
2016-04-14 23:00:01,46,0,0,15
2016-04-14 23:30:01,47,0,0,14.5
2016-04-15 00:00:01,0,0,0,14
2016-04-15 00:30:01,1,0,0,13.5
2016-04-15 01:00:01,2,0,0,13
2016-04-15 01:30:01,3,0,0,12.5
2016-04-15 02:00:01,4,0,0,12
2016-04-15 02:30:01,5,0,0,11.5
2016-04-15 03:00:01,6,0,0,11
2016-04-15 03:30:01,7,0,0,10.5
