"time","period","lat","lon","parking"
2016-04-23 21:00:01,42,0,0,14.5
2016-04-23 21:30:01,43,0,0,14
2016-04-23 22:00:01,44,0,0,13.5
2016-04-23 22:30:01,45,0,0,13
2016-04-23 23:00:01,46,0,0,12.5
2016-04-23 23:30:01,47,0,0,12
2016-04-24 00:00:01,0,0,0,11.5
2016-04-24 00:30:01,1,0,0,11
2016-04-24 01:00:01,2,0,0,10.5
2016-04-24 01:30:01,3,0,0,10
2016-04-24 02:00:01,4,0,0,9.5
2016-04-24 02:30:01,5,0,0,9
2016-04-24 03:00:01,6,0,0,8.5
2016-04-24 03:30:01,7,0,0,8
2016-04-24 04:00:01,8,0,0,7.5
2016-04-24 04:30:01,9,0,0,7
2016-04-24 05:00:01,10,0,0,6.5
2016-04-24 05:30:01,11,0,0,6
2016-04-24 06:00:01,12,0,0,5.5
2016-04-24 06:30:01,13,0,0,5
2016-04-24 07:00:01,14,0,0,4.5
2016-04-24 07:30:01,15,0,0,4
2016-04-24 08:00:01,16,0,0,3.5
2016-04-24 08:30:01,17,0,0,3
2016-04-24 09:00:01,18,0,0,2.5
2016-04-24 09:30:01,19,0,0,2
2016-04-24 10:00:01,20,0,0,1.5
2016-04-24 10:30:01,21,0,0,1
2016-04-24 11:00:01,22,0,0,0.5
2016-04-24 11:30:01,23,0,0,0
2016-04-24 12:00:01,24,-0.00147777999999477,0.000623399999994945,0
2016-04-24 12:30:01,25,0,0,7.5
2016-04-24 13:00:01,26,0,0,7
2016-04-24 13:30:01,27,0,0,6.5
2016-04-24 14:00:01,28,0,0,6
2016-04-24 14:30:01,29,0,0,5.5
2016-04-24 15:00:01,30,0,0,5
2016-04-24 15:30:01,31,0,0,4.5
2016-04-24 16:00:01,32,0,0,4
2016-04-24 16:30:01,33,0,0,3.5
2016-04-24 17:00:01,34,0,0,3
2016-04-24 17:30:01,35,0,0,2.5
2016-04-24 18:00:01,36,0,0,2
2016-04-24 18:30:01,37,0,0,1.5
2016-04-24 19:00:01,38,0,0,1
2016-04-24 19:30:01,39,0,0,0.5
2016-04-24 20:00:01,40,0,0,0
